SN,Total Feedback Given,Total Configured,Questions,Weightage 1,Weightage 2,Weightage 3,Weightage 4,Weightage 5,Average/ Percentage,Course Name,Basic Course,Comments,Polarity,Sentiment,Average_Score,Percentage,Cleaned_Comments,Subjectivity,Vader_Sentiment,VADER_Scores,Compound,VADER_Sentiment,Event_Type,Event_Type_Num
11,1,12,Your mentor does a necessary follow-up with an assigned task to you.,0,0,1,0,0,3.00 / 60.00,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY,Highly satisfied with the course.,0.5,Positive,3.0,60.0,highly satisfied course,1.0,Positive,"{'neg': 0.0, 'neu': 0.564, 'pos': 0.436, 'compound': 0.4754}",0.4754,Positive,Seminar,0
12,1,12,The teachers illustrate the concepts through examples and applications.,0,0,0,0,1,5.00 / 100.00,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY,Great delivery by the instructor.,0.8,Positive,5.0,100.0,great delivery instructor,0.75,Positive,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6249}",0.6249,Positive,Seminar,0
13,1,12,The teachers identify your strengths and encourage you to provide the proper level of challenges.,0,1,0,0,0,2.00 / 40.00,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY,Great delivery by the instructor.,0.8,Positive,2.0,40.0,great delivery instructor,0.75,Positive,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6249}",0.6249,Positive,Seminar,0
14,1,12,Teachers are able to identify your weaknesses and help you to overcome them.,0,0,1,0,0,3.00 / 60.00,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY,Examples were not clear.,-0.05000000000000001,Neutral,3.0,60.0,example clear,0.3833333333333333,Negative,"{'neg': 0.421, 'neu': 0.579, 'pos': 0.0, 'compound': -0.2924}",-0.2924,Negative,Seminar,0
15,1,12,"The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.",0,0,1,0,0,3.00 / 60.00,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY,Excellent speakers and content!,1.0,Positive,3.0,60.0,excellent speaker content,1.0,Positive,"{'neg': 0.0, 'neu': 0.429, 'pos': 0.571, 'compound': 0.6114}",0.6114,Positive,Seminar,0
16,1,12,"The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.",0,0,1,0,0,3.00 / 60.00,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY,Highly satisfied with the course.,0.5,Positive,3.0,60.0,highly satisfied course,1.0,Positive,"{'neg': 0.0, 'neu': 0.564, 'pos': 0.436, 'compound': 0.4754}",0.4754,Positive,Seminar,0
17,1,12,Teachers encourage you to participate in extracurricular activities.,0,0,0,1,0,4.00 / 80.00,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY,Teaching was outstanding.,0.5,Positive,4.0,80.0,teaching outstanding,0.875,Positive,"{'neg': 0.0, 'neu': 0.333, 'pos': 0.667, 'compound': 0.6124}",0.6124,Positive,Seminar,0
18,1,12,"Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.",0,1,0,0,0,2.00 / 40.00,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY,Highly satisfied with the course.,0.5,Positive,2.0,40.0,highly satisfied course,1.0,Positive,"{'neg': 0.0, 'neu': 0.564, 'pos': 0.436, 'compound': 0.4754}",0.4754,Positive,Seminar,0
19,1,12,"What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?",0,0,0,1,0,4.00 / 80.00,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY,The explanation was just satisfactory.,0.0,Neutral,4.0,80.0,explanation satisfactory,0.0,Positive,"{'neg': 0.0, 'neu': 0.615, 'pos': 0.385, 'compound': 0.3612}",0.3612,Positive,Seminar,0
20,1,12,The overall quality of the teaching-learning process in your institute is very good.,0,0,1,0,0,3.00 / 60.00,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY,Loved every bit of it!,0.875,Positive,3.0,60.0,loved every bit,0.8,Positive,"{'neg': 0.0, 'neu': 0.488, 'pos': 0.512, 'compound': 0.636}",0.636,Positive,Seminar,0
1,1,144,How much of the syllabus was covered in the class?,0,0,0,0,1,5.00 / 100.00,FYBA,BACHELOR OF ARTS,Teaching was outstanding.,0.5,Positive,5.0,100.0,teaching outstanding,0.875,Positive,"{'neg': 0.0, 'neu': 0.333, 'pos': 0.667, 'compound': 0.6124}",0.6124,Positive,Seminar,0
2,1,144,How well did the teachers prepare for the classes?,0,0,0,0,1,5.00 / 100.00,FYBA,BACHELOR OF ARTS,Interactive and enjoyable sessions.,0.5,Positive,5.0,100.0,interactive enjoyable session,0.6,Positive,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}",0.4404,Positive,Seminar,0
3,1,144,How well were the teachers able to communicate?,0,0,0,0,1,5.00 / 100.00,FYBA,BACHELOR OF ARTS,"Not what I expected, felt boring.",-0.55,Negative,5.0,100.0,expected felt boring,0.7,Negative,"{'neg': 0.365, 'neu': 0.635, 'pos': 0.0, 'compound': -0.3182}",-0.3182,Negative,Seminar,0
4,1,144,The teacher’s approach to teaching can best be described as,0,0,0,0,1,5.00 / 100.00,FYBA,BACHELOR OF ARTS,Too theoretical for my taste.,0.0,Neutral,5.0,100.0,theoretical taste,0.1,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Seminar,0
5,1,144,Fairness of the internal evaluation process by the teachers.,0,0,0,0,1,5.00 / 100.00,FYBA,BACHELOR OF ARTS,I enjoyed the activities a lot!,0.625,Positive,5.0,100.0,enjoyed activity lot,0.7,Positive,"{'neg': 0.0, 'neu': 0.455, 'pos': 0.545, 'compound': 0.5562}",0.5562,Positive,Seminar,0
6,1,144,Was your performance in assignments discussed with you?,0,0,0,1,0,4.00 / 80.00,FYBA,BACHELOR OF ARTS,Interactive and enjoyable sessions.,0.5,Positive,4.0,80.0,interactive enjoyable session,0.6,Positive,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}",0.4404,Positive,Seminar,0
7,1,144,"The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.",0,0,1,0,0,3.00 / 60.00,FYBA,BACHELOR OF ARTS,The session was fantastic and very engaging.,0.46,Positive,3.0,60.0,session fantastic engaging,0.905,Positive,"{'neg': 0.0, 'neu': 0.443, 'pos': 0.557, 'compound': 0.7425}",0.7425,Positive,Seminar,0
8,1,144,"The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.",0,0,0,0,1,5.00 / 100.00,FYBA,BACHELOR OF ARTS,The content was very informative.,0.2,Positive,5.0,100.0,content informative,0.3,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Seminar,0
9,1,144,The institution provides multiple opportunities to learn and grow.,0,0,0,1,0,4.00 / 80.00,FYBA,BACHELOR OF ARTS,I enjoyed the activities a lot!,0.625,Positive,4.0,80.0,enjoyed activity lot,0.7,Positive,"{'neg': 0.0, 'neu': 0.455, 'pos': 0.545, 'compound': 0.5562}",0.5562,Positive,Seminar,0
10,1,144,"Teachers inform you about your expected competencies, course outcomes and program
outcomes.",0,0,0,0,1,5.00 / 100.00,FYBA,BACHELOR OF ARTS,Teaching was outstanding.,0.5,Positive,5.0,100.0,teaching outstanding,0.875,Positive,"{'neg': 0.0, 'neu': 0.333, 'pos': 0.667, 'compound': 0.6124}",0.6124,Positive,Seminar,0
11,1,144,Your mentor does a necessary follow-up with an assigned task to you.,0,0,0,0,1,5.00 / 100.00,FYBA,BACHELOR OF ARTS,The content was very informative.,0.2,Positive,5.0,100.0,content informative,0.3,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Seminar,0
12,1,144,The teachers illustrate the concepts through examples and applications.,0,0,0,0,1,5.00 / 100.00,FYBA,BACHELOR OF ARTS,Great delivery by the instructor.,0.8,Positive,5.0,100.0,great delivery instructor,0.75,Positive,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6249}",0.6249,Positive,Seminar,0
13,1,144,The teachers identify your strengths and encourage you to provide the proper level of challenges.,0,0,0,0,1,5.00 / 100.00,FYBA,BACHELOR OF ARTS,The session was fantastic and very engaging.,0.46,Positive,5.0,100.0,session fantastic engaging,0.905,Positive,"{'neg': 0.0, 'neu': 0.443, 'pos': 0.557, 'compound': 0.7425}",0.7425,Positive,Seminar,0
14,1,144,Teachers are able to identify your weaknesses and help you to overcome them.,0,0,0,0,1,5.00 / 100.00,FYBA,BACHELOR OF ARTS,Content was fine.,0.4166666666666667,Positive,5.0,100.0,content fine,0.5,Positive,"{'neg': 0.0, 'neu': 0.526, 'pos': 0.474, 'compound': 0.2023}",0.2023,Positive,Seminar,0
15,1,144,"The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.",0,0,0,1,0,4.00 / 80.00,FYBA,BACHELOR OF ARTS,Interactive and enjoyable sessions.,0.5,Positive,4.0,80.0,interactive enjoyable session,0.6,Positive,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}",0.4404,Positive,Seminar,0
16,1,144,"The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.",0,0,0,1,0,4.00 / 80.00,FYBA,BACHELOR OF ARTS,Loved every bit of it!,0.875,Positive,4.0,80.0,loved every bit,0.8,Positive,"{'neg': 0.0, 'neu': 0.488, 'pos': 0.512, 'compound': 0.636}",0.636,Positive,Seminar,0
17,1,144,Teachers encourage you to participate in extracurricular activities.,0,0,0,1,0,4.00 / 80.00,FYBA,BACHELOR OF ARTS,"It was okay, but a bit long.",0.225,Positive,4.0,80.0,okay bit long,0.45,Positive,"{'neg': 0.0, 'neu': 0.775, 'pos': 0.225, 'compound': 0.1154}",0.1154,Positive,Seminar,0
18,1,144,"Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.",0,0,0,1,0,4.00 / 80.00,FYBA,BACHELOR OF ARTS,Interactive and enjoyable sessions.,0.5,Positive,4.0,80.0,interactive enjoyable session,0.6,Positive,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}",0.4404,Positive,Seminar,0
19,1,144,"What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?",0,0,0,0,1,5.00 / 100.00,FYBA,BACHELOR OF ARTS,The explanation was just satisfactory.,0.0,Neutral,5.0,100.0,explanation satisfactory,0.0,Positive,"{'neg': 0.0, 'neu': 0.615, 'pos': 0.385, 'compound': 0.3612}",0.3612,Positive,Seminar,0
20,1,144,The overall quality of the teaching-learning process in your institute is very good.,0,0,0,1,0,4.00 / 80.00,FYBA,BACHELOR OF ARTS,Mentoring helped me improve a lot.,0.0,Neutral,4.0,80.0,mentoring helped improve lot,0.0,Positive,"{'neg': 0.0, 'neu': 0.58, 'pos': 0.42, 'compound': 0.4404}",0.4404,Positive,Seminar,0
1,74,119,How much of the syllabus was covered in the class?,1,2,13,27,31,4.15 / 82.97,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE),Interactive and enjoyable sessions.,0.5,Positive,4.15,82.97,interactive enjoyable session,0.6,Positive,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}",0.4404,Positive,Seminar,0
2,74,119,How well did the teachers prepare for the classes?,1,1,14,52,6,3.82 / 76.49,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE),Loved every bit of it!,0.875,Positive,3.82,76.49,loved every bit,0.8,Positive,"{'neg': 0.0, 'neu': 0.488, 'pos': 0.512, 'compound': 0.636}",0.636,Positive,Seminar,0
3,74,119,How well were the teachers able to communicate?,2,1,7,28,36,4.28 / 85.68,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE),Highly satisfied with the course.,0.5,Positive,4.28,85.68,highly satisfied course,1.0,Positive,"{'neg': 0.0, 'neu': 0.564, 'pos': 0.436, 'compound': 0.4754}",0.4754,Positive,Seminar,0
4,74,119,The teacher’s approach to teaching can best be described as,0,5,17,35,17,3.86 / 77.30,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE),Mentoring helped me improve a lot.,0.0,Neutral,3.86,77.3,mentoring helped improve lot,0.0,Positive,"{'neg': 0.0, 'neu': 0.58, 'pos': 0.42, 'compound': 0.4404}",0.4404,Positive,Seminar,0
5,74,119,Fairness of the internal evaluation process by the teachers.,3,3,9,21,38,4.19 / 83.78,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE),Teaching was outstanding.,0.5,Positive,4.19,83.78,teaching outstanding,0.875,Positive,"{'neg': 0.0, 'neu': 0.333, 'pos': 0.667, 'compound': 0.6124}",0.6124,Positive,Seminar,0
6,74,119,Was your performance in assignments discussed with you?,1,3,8,27,35,4.24 / 84.86,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE),Highly satisfied with the course.,0.5,Positive,4.24,84.86,highly satisfied course,1.0,Positive,"{'neg': 0.0, 'neu': 0.564, 'pos': 0.436, 'compound': 0.4754}",0.4754,Positive,Seminar,0
7,74,119,"The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.",2,6,22,10,34,3.92 / 78.38,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE),Mentoring helped me improve a lot.,0.0,Neutral,3.92,78.38,mentoring helped improve lot,0.0,Positive,"{'neg': 0.0, 'neu': 0.58, 'pos': 0.42, 'compound': 0.4404}",0.4404,Positive,Seminar,0
8,74,119,"The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.",1,4,12,40,17,3.92 / 78.38,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE),Interactive and enjoyable sessions.,0.5,Positive,3.92,78.38,interactive enjoyable session,0.6,Positive,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}",0.4404,Positive,Seminar,0
9,74,119,The institution provides multiple opportunities to learn and grow.,1,3,8,43,19,4.03 / 80.54,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE),Too theoretical for my taste.,0.0,Neutral,4.03,80.54,theoretical taste,0.1,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Seminar,0
10,74,119,"Teachers inform you about your expected competencies, course outcomes and program
outcomes.",0,3,9,32,30,4.20 / 84.05,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE),Not satisfied with the teaching method.,-0.25,Negative,4.2,84.05,satisfied teaching method,1.0,Negative,"{'neg': 0.318, 'neu': 0.682, 'pos': 0.0, 'compound': -0.3252}",-0.3252,Negative,Seminar,0
11,74,119,Your mentor does a necessary follow-up with an assigned task to you.,2,4,11,30,27,4.03 / 80.54,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE),Excellent speakers and content!,1.0,Positive,4.03,80.54,excellent speaker content,1.0,Positive,"{'neg': 0.0, 'neu': 0.429, 'pos': 0.571, 'compound': 0.6114}",0.6114,Positive,Seminar,0
12,74,119,The teachers illustrate the concepts through examples and applications.,1,4,7,27,35,4.23 / 84.59,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE),Examples were not clear.,-0.05000000000000001,Neutral,4.23,84.59,example clear,0.3833333333333333,Negative,"{'neg': 0.421, 'neu': 0.579, 'pos': 0.0, 'compound': -0.2924}",-0.2924,Negative,Seminar,0
13,74,119,The teachers identify your strengths and encourage you to provide the proper level of challenges.,1,2,6,32,33,4.27 / 85.41,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE),I enjoyed the activities a lot!,0.625,Positive,4.27,85.41,enjoyed activity lot,0.7,Positive,"{'neg': 0.0, 'neu': 0.455, 'pos': 0.545, 'compound': 0.5562}",0.5562,Positive,Seminar,0
14,74,119,Teachers are able to identify your weaknesses and help you to overcome them.,1,3,12,34,24,4.04 / 80.81,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE),I enjoyed the activities a lot!,0.625,Positive,4.04,80.81,enjoyed activity lot,0.7,Positive,"{'neg': 0.0, 'neu': 0.455, 'pos': 0.545, 'compound': 0.5562}",0.5562,Positive,Seminar,0
15,74,119,"The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.",0,4,9,46,15,3.97 / 79.46,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE),Great delivery by the instructor.,0.8,Positive,3.97,79.46,great delivery instructor,0.75,Positive,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6249}",0.6249,Positive,Seminar,0
16,74,119,"The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.",1,5,5,44,19,4.01 / 80.27,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE),Content was fine.,0.4166666666666667,Positive,4.01,80.27,content fine,0.5,Positive,"{'neg': 0.0, 'neu': 0.526, 'pos': 0.474, 'compound': 0.2023}",0.2023,Positive,Seminar,0
17,74,119,Teachers encourage you to participate in extracurricular activities.,1,2,5,34,32,4.27 / 85.41,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE),Too theoretical for my taste.,0.0,Neutral,4.27,85.41,theoretical taste,0.1,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Seminar,0
18,74,119,"Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.",1,5,10,35,23,4.00 / 80.00,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE),Mentoring helped me improve a lot.,0.0,Neutral,4.0,80.0,mentoring helped improve lot,0.0,Positive,"{'neg': 0.0, 'neu': 0.58, 'pos': 0.42, 'compound': 0.4404}",0.4404,Positive,Seminar,0
19,74,119,"What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?",19,5,26,18,6,2.82 / 56.49,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE),Highly satisfied with the course.,0.5,Positive,2.82,56.49,highly satisfied course,1.0,Positive,"{'neg': 0.0, 'neu': 0.564, 'pos': 0.436, 'compound': 0.4754}",0.4754,Positive,Seminar,0
20,74,119,The overall quality of the teaching-learning process in your institute is very good.,0,3,10,36,25,4.12 / 82.43,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE),Great delivery by the instructor.,0.8,Positive,4.12,82.43,great delivery instructor,0.75,Positive,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6249}",0.6249,Positive,Seminar,0
1,20,33,How much of the syllabus was covered in the class?,0,0,1,4,15,4.70 / 94.00,FY BCOM (BANKING & INSURANCE),BACHELOR OF COMMERCE (BANKING AND INSURANCE),I enjoyed the activities a lot!,0.625,Positive,4.7,94.0,enjoyed activity lot,0.7,Positive,"{'neg': 0.0, 'neu': 0.455, 'pos': 0.545, 'compound': 0.5562}",0.5562,Positive,Seminar,0
2,20,33,How well did the teachers prepare for the classes?,1,1,0,12,6,4.05 / 81.00,FY BCOM (BANKING & INSURANCE),BACHELOR OF COMMERCE (BANKING AND INSURANCE),The session was neither good nor bad.,5.551115123125783e-17,Neutral,4.05,81.0,session neither good bad,0.6333333333333333,Negative,"{'neg': 0.488, 'neu': 0.512, 'pos': 0.0, 'compound': -0.5824}",-0.5824,Negative,Seminar,0
3,20,33,How well were the teachers able to communicate?,0,1,2,3,14,4.50 / 90.00,FY BCOM (BANKING & INSURANCE),BACHELOR OF COMMERCE (BANKING AND INSURANCE),Great delivery by the instructor.,0.8,Positive,4.5,90.0,great delivery instructor,0.75,Positive,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6249}",0.6249,Positive,Seminar,0
4,20,33,The teacher’s approach to teaching can best be described as,0,1,1,8,10,4.35 / 87.00,FY BCOM (BANKING & INSURANCE),BACHELOR OF COMMERCE (BANKING AND INSURANCE),"Not what I expected, felt boring.",-0.55,Negative,4.35,87.0,expected felt boring,0.7,Negative,"{'neg': 0.365, 'neu': 0.635, 'pos': 0.0, 'compound': -0.3182}",-0.3182,Negative,Seminar,0
5,20,33,Fairness of the internal evaluation process by the teachers.,0,0,1,9,10,4.45 / 89.00,FY BCOM (BANKING & INSURANCE),BACHELOR OF COMMERCE (BANKING AND INSURANCE),"Not what I expected, felt boring.",-0.55,Negative,4.45,89.0,expected felt boring,0.7,Negative,"{'neg': 0.365, 'neu': 0.635, 'pos': 0.0, 'compound': -0.3182}",-0.3182,Negative,Seminar,0
6,20,33,Was your performance in assignments discussed with you?,0,2,0,4,14,4.50 / 90.00,FY BCOM (BANKING & INSURANCE),BACHELOR OF COMMERCE (BANKING AND INSURANCE),Neutral experience overall.,0.0,Neutral,4.5,90.0,neutral experience overall,0.0,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Seminar,0
7,20,33,"The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.",0,1,3,1,15,4.50 / 90.00,FY BCOM (BANKING & INSURANCE),BACHELOR OF COMMERCE (BANKING AND INSURANCE),The session was fantastic and very engaging.,0.46,Positive,4.5,90.0,session fantastic engaging,0.905,Positive,"{'neg': 0.0, 'neu': 0.443, 'pos': 0.557, 'compound': 0.7425}",0.7425,Positive,Seminar,0
8,20,33,"The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.",0,1,0,10,9,4.35 / 87.00,FY BCOM (BANKING & INSURANCE),BACHELOR OF COMMERCE (BANKING AND INSURANCE),Interactive and enjoyable sessions.,0.5,Positive,4.35,87.0,interactive enjoyable session,0.6,Positive,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}",0.4404,Positive,Seminar,0
9,20,33,The institution provides multiple opportunities to learn and grow.,0,1,3,11,5,4.00 / 80.00,FY BCOM (BANKING & INSURANCE),BACHELOR OF COMMERCE (BANKING AND INSURANCE),The session was fantastic and very engaging.,0.46,Positive,4.0,80.0,session fantastic engaging,0.905,Positive,"{'neg': 0.0, 'neu': 0.443, 'pos': 0.557, 'compound': 0.7425}",0.7425,Positive,Seminar,0
10,20,33,"Teachers inform you about your expected competencies, course outcomes and program
outcomes.",1,0,2,2,15,4.50 / 90.00,FY BCOM (BANKING & INSURANCE),BACHELOR OF COMMERCE (BANKING AND INSURANCE),Examples were not clear.,-0.05000000000000001,Neutral,4.5,90.0,example clear,0.3833333333333333,Negative,"{'neg': 0.421, 'neu': 0.579, 'pos': 0.0, 'compound': -0.2924}",-0.2924,Negative,Seminar,0
